model,accuracy,precision,recall,f1,predict_time_s,tn,fp,fn,tp,train_time_s
Logistic Regression,0.9821504721291502,0.9808273297699279,0.985062434356401,0.9829403202328967,0.0034577000005810987,7681,165,128,8441,0.8259941999995135
Multinomial Naive Bayes,0.9566859579652757,0.974287783679382,0.9418835336678726,0.9578116655788287,0.00762010000016744,7633,213,498,8071,0.04301269999996293
Random Forest,0.9813585135546756,0.9849747622960441,0.9792274477768701,0.9820926966292135,0.15183059999981197,7718,128,178,8391,25.55273820000002
MLP Neural Network,0.981784952787085,0.9802555168408827,0.9849457346248104,0.98259502881425,0.0759050999995452,7676,170,129,8440,44.99858409999979
