vectorizer,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,mean_fit_time_s
CountVectorizer,0.9794852477930783,0.0013708927921927436,0.9804546219530152,0.0012903490599495621,0.9573574860890707
TF-IDF,0.9791806488051272,0.0009931411485525393,0.9801099870288553,0.000955130997505586,0.43755340576171875
